,Model,params,ARS,N_cl_opt
0,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'ward', 'max_clust': 25, 'metric': 'euclidean'}",0.0506610878952137,3.0
31,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'average', 'max_clust': 30, 'metric': 'cosine'}",0.0506610878952137,3.0
33,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 25, 'metric': 'cosine'}",0.0506610878952137,3.0
34,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 26, 'metric': 'euclidean'}",0.0506610878952137,3.0
35,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 26, 'metric': 'cosine'}",0.0506610878952137,3.0
36,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 28, 'metric': 'euclidean'}",0.0506610878952137,3.0
37,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 28, 'metric': 'cosine'}",0.0506610878952137,3.0
38,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 30, 'metric': 'euclidean'}",0.0506610878952137,3.0
39,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 30, 'metric': 'cosine'}",0.0506610878952137,3.0
40,TransE_best_3,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'centroid', 'max_clust': 25, 'metric': 'euclidean'}",0.0506610878952137,3.0
