,Model,params,ARS
0,<class 'ampligraph.latent_features.models.TransE.TransE'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adagrad', 'loss': 'absolute_margin', 'k': 100, 'initializer': 'uniform', 'eta': 1, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 1, 'lambda': 0.001}, 'optimizer_parameters': {'lr': 0.001}}",0.005719211034259346
1,<class 'ampligraph.latent_features.models.TransE.TransE'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adagrad', 'loss': 'multiclass_nll', 'k': 200, 'initializer': 'uniform', 'eta': 10, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 2, 'lambda': 0.001}, 'optimizer_parameters': {'lr': 0.001}}",-0.05896995294608874
2,<class 'ampligraph.latent_features.models.TransE.TransE'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adam', 'loss': 'self_adversarial', 'k': 100, 'initializer': 'xavier', 'eta': 1, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 3, 'lambda': 0.001}, 'optimizer_parameters': {'lr': 0.001}}",0.0006044513524599011
3,<class 'ampligraph.latent_features.models.TransE.TransE'>,"{'verbose': True, 'seed': 0, 'optimizer': 'sgd', 'loss': 'pairwise', 'k': 200, 'initializer': 'uniform', 'eta': 10, 'epochs': 100, 'batches_count': 100, 'regularizer_parameters': {'p': 1, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",-0.0075124668091444856
4,<class 'ampligraph.latent_features.models.TransE.TransE'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adagrad', 'loss': 'multiclass_nll', 'k': 200, 'initializer': 'xavier', 'eta': 5, 'epochs': 100, 'batches_count': 100, 'regularizer_parameters': {'p': 2, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",0.0506610878952137
5,<class 'ampligraph.latent_features.models.TransE.TransE'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adam', 'loss': 'pairwise', 'k': 200, 'initializer': 'normal', 'eta': 5, 'epochs': 100, 'batches_count': 100, 'regularizer_parameters': {'p': 3, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",0.0035100549935778015
6,<class 'ampligraph.latent_features.models.TransE.TransE'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adam', 'loss': 'multiclass_nll', 'k': 200, 'initializer': 'uniform', 'eta': 5, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 1, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",-0.033888627182276275
