,Model,params,ARS
0,<class 'ampligraph.latent_features.models.DistMult.DistMult'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adagrad', 'loss': 'absolute_margin', 'k': 100, 'initializer': 'uniform', 'eta': 1, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 1, 'lambda': 0.001}, 'optimizer_parameters': {'lr': 0.001}}",-0.029948610225439813
1,<class 'ampligraph.latent_features.models.DistMult.DistMult'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adagrad', 'loss': 'multiclass_nll', 'k': 200, 'initializer': 'uniform', 'eta': 10, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 2, 'lambda': 0.001}, 'optimizer_parameters': {'lr': 0.001}}",0.005929962878567613
2,<class 'ampligraph.latent_features.models.DistMult.DistMult'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adam', 'loss': 'self_adversarial', 'k': 100, 'initializer': 'xavier', 'eta': 1, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 3, 'lambda': 0.001}, 'optimizer_parameters': {'lr': 0.001}}",0.01614712676126748
3,<class 'ampligraph.latent_features.models.DistMult.DistMult'>,"{'verbose': True, 'seed': 0, 'optimizer': 'sgd', 'loss': 'pairwise', 'k': 200, 'initializer': 'uniform', 'eta': 10, 'epochs': 100, 'batches_count': 100, 'regularizer_parameters': {'p': 1, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",0.005276657829862011
4,<class 'ampligraph.latent_features.models.DistMult.DistMult'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adagrad', 'loss': 'multiclass_nll', 'k': 200, 'initializer': 'xavier', 'eta': 5, 'epochs': 100, 'batches_count': 100, 'regularizer_parameters': {'p': 2, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",-0.04450872388220451
5,<class 'ampligraph.latent_features.models.DistMult.DistMult'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adam', 'loss': 'pairwise', 'k': 200, 'initializer': 'normal', 'eta': 5, 'epochs': 100, 'batches_count': 100, 'regularizer_parameters': {'p': 3, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",-0.013658378065157727
6,<class 'ampligraph.latent_features.models.DistMult.DistMult'>,"{'verbose': True, 'seed': 0, 'optimizer': 'adam', 'loss': 'multiclass_nll', 'k': 200, 'initializer': 'uniform', 'eta': 5, 'epochs': 20, 'batches_count': 100, 'regularizer_parameters': {'p': 1, 'lambda': 1e-05}, 'optimizer_parameters': {'lr': 0.001}}",-0.016121575211394103
