model,mr,mrr,hits@1,hits@10,hits@100,ars,Silh_best,Nbr_cl_opt
RandomBaseline,109414.4728,5.22e-05,0.0,0.0,0.0005,-0.07274320771253287,0.6893718242645264,8.0
TransE_1,20511.922,0.23801625,0.13125,0.413,0.5475,0.0580310880829015,0.3857525587081909,2.0
